City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,teguldet,57.3064,88.1667,273.67,69,100,4.92,RU,1667743867
239,santa maria,-29.6842,-53.8069,295.3,47,0,5.69,BR,1667743533
240,vardo,70.3705,31.1107,276.14,93,100,4.63,NO,1667743867
241,lasa,46.6166,10.7002,282.8,60,71,0.57,IT,1667743868
242,maniitsoq,65.4167,-52.9,267.2,57,1,3.22,GL,1667743869
243,agadir,30.4202,-9.5982,300.4,43,2,3.19,MA,1667743624
244,longyan,25.1072,117.0225,290.59,95,100,1.11,CN,1667743869
245,port hardy,50.6996,-127.4199,275.46,99,100,3.44,CA,1667743870
246,silvania,-16.6589,-48.6081,302.26,30,43,1.4,BR,1667743871
247,constantine,36.365,6.6147,293.82,24,0,2.57,DZ,1667743871
248,tuatapere,-46.1333,167.6833,279.63,87,16,2.92,NZ,1667743872
249,hambantota,6.1241,81.1185,299.7,78,99,4.02,LK,1667743872
250,rio brilhante,-21.8019,-54.5464,299.17,35,0,3.85,BR,1667743873
251,axim,4.8699,-2.2405,300.98,75,95,2.66,GH,1667743873
252,ambon,-3.6954,128.1814,298.28,16,40,5.14,ID,1667743874
253,kavaratti,10.5669,72.642,300.83,74,4,2.11,IN,1667743874
254,clyde river,70.4692,-68.5914,249.97,86,4,2.16,CA,1667743875
255,tubuala,9.5167,-79.0333,298.03,91,100,4.09,PA,1667743875
256,bilibino,68.0546,166.4372,255.4,100,53,1.59,RU,1667743876
257,chuy,-33.6971,-53.4616,293.22,61,10,5.94,UY,1667743877
258,christchurch,-43.5333,172.6333,286.43,77,100,5.14,NZ,1667743843
259,tual,-5.6667,132.75,302.51,74,100,3.16,ID,1667743877
260,bandarbeyla,9.4942,50.8122,299.85,72,7,4.94,SO,1667743878
261,srandakan,-7.9386,110.2506,298.4,90,100,1.13,ID,1667743878
262,ambilobe,-13.2,49.05,301.49,59,68,2.74,MG,1667743658
263,klaksvik,62.2266,-6.589,280.66,81,90,7.26,FO,1667743879
264,coihaique,-45.5752,-72.0662,288.12,51,75,4.12,CL,1667743880
265,san javier,37.8063,-0.8374,299.25,54,0,3.6,ES,1667743880
266,altay,47.8667,88.1167,277.69,53,100,1.81,CN,1667743881
267,barahona,18.2085,-71.1008,301.05,89,20,3.09,DO,1667743783
268,beloha,-25.1667,45.05,297.53,76,100,1.95,MG,1667743881
269,pangnirtung,66.1451,-65.7125,258.84,85,11,3.85,CA,1667743882
270,broken hill,-31.95,141.4333,291.48,59,32,6.42,AU,1667743883
271,leningradskiy,69.3833,178.4167,271.19,68,69,5.21,RU,1667743883
272,uyuni,-20.4597,-66.825,284.63,17,0,0.88,BO,1667743884
273,lakes entrance,-37.8811,147.981,287.13,81,98,1.68,AU,1667743884
274,upernavik,72.7868,-56.1549,263.62,82,100,5.54,GL,1667743885
275,tevaitoa,-16.7833,-151.5,299.1,82,100,10.65,PF,1667743886
276,mabaruma,8.2,-59.7833,303.09,66,13,0.58,GY,1667743886
277,godda,24.8333,87.2167,296.61,55,19,0.96,IN,1667743887
278,pilisszentkereszt,47.6914,18.905,283.92,91,100,1.35,HU,1667743888
279,rancho palos verdes,33.7445,-118.387,286.79,92,2,0.45,US,1667743868
280,port macquarie,-31.4333,152.9167,286.98,82,42,2.27,AU,1667743862
281,qasigiannguit,68.8193,-51.1922,257.41,95,50,2.14,GL,1667743889
282,tooele,40.5308,-112.2983,275.97,81,100,2.57,US,1667743889
283,xingtai,37.0631,114.4942,285.59,48,3,2.92,CN,1667743890
284,aviles,43.5547,-5.9248,294.13,49,20,6.17,ES,1667743890
285,pitimbu,-7.4706,-34.8086,303.48,71,95,4.88,BR,1667743891
286,huari,-9.3333,-77.2333,283.61,64,40,2.46,PE,1667743891
287,namibe,-15.1961,12.1522,298.36,52,0,5.64,AO,1667743892
288,kruisfontein,-34.0033,24.7314,298.64,56,3,10.06,ZA,1667743892
289,bengkulu,-3.8004,102.2655,298.48,83,100,0.99,ID,1667743893
290,katangli,51.7102,143.2326,266.36,75,6,4.15,RU,1667743893
291,cayenne,4.9333,-52.3333,303.17,74,75,2.06,GF,1667743894
292,lora del rio,37.659,-5.5275,296.34,22,28,2.33,ES,1667743894
293,qujing,25.4833,103.7833,283.87,89,12,1.82,CN,1667743895
294,bam,29.106,58.357,294.82,30,57,2.85,IR,1667743895
295,ponta do sol,32.6667,-17.1,296.49,86,53,1.42,PT,1667743895
296,port keats,-14.25,129.55,302.14,71,13,3.5,AU,1667743896
297,batemans bay,-35.7167,150.1833,290.98,92,100,1.44,AU,1667743896
298,coquimbo,-29.9533,-71.3436,289.0,72,75,3.6,CL,1667743897
299,flin flon,54.7682,-101.865,269.06,86,100,9.26,CA,1667743898
300,barreiras,-12.1528,-44.99,299.54,62,100,2.29,BR,1667743899
301,cap malheureux,-19.9842,57.6142,297.85,69,10,3.13,MU,1667743899
302,council bluffs,41.2619,-95.8608,284.38,46,75,6.17,US,1667743782
303,shimoda,34.6667,138.95,286.54,72,91,3.63,JP,1667743900
304,touros,-5.1989,-35.4608,303.05,57,95,6.79,BR,1667743900
305,jiayuguan,39.8167,98.3,276.86,30,16,2.98,CN,1667743901
306,dauphin,51.1494,-100.0502,273.23,99,100,6.17,CA,1667743665
307,dunedin,-45.8742,170.5036,284.15,83,8,2.38,NZ,1667743901
308,lodja,-3.4833,23.4333,301.67,55,93,1.46,CD,1667743902
309,labuhan,-6.8844,112.2051,300.84,73,100,1.73,ID,1667743902
310,nowy tomysl,52.3195,16.1284,285.42,62,0,3.88,PL,1667743902
311,antofagasta,-23.65,-70.4,289.75,67,44,3.54,CL,1667743903
312,sibolga,1.7427,98.7792,298.01,87,100,1.14,ID,1667743904
313,ajdabiya,30.7554,20.2263,295.7,47,8,9.2,LY,1667743904
314,caborca,30.5838,-111.101,286.82,31,0,2.09,MX,1667743904
315,pula,44.8683,13.8481,289.46,44,0,4.12,HR,1667743905
316,mahajanga,-15.7167,46.3167,301.16,69,20,5.66,MG,1667743905
317,narrabri,-30.3167,149.7833,290.11,76,29,3.4,AU,1667743906
318,sungairaya,0.7,108.9,298.82,85,100,3.17,ID,1667743641
319,victoria point,-27.5833,153.3,293.81,79,1,1.34,AU,1667743907
320,raga,8.4596,25.678,308.66,19,83,3.74,SS,1667743907
321,pinega,64.7001,43.3936,270.5,92,60,3.71,RU,1667743908
